TMALPI_LH,Magnetizing Prayer,༄༅། །དབང་སྡུད་གསོལ་འདེབས།
TMFJ0S_LH,The Blissful Path to Awakening: A Guru Yoga Visualizing the Support in the Space in Front Seven-Branch Practice,༄༅། །བླ་མའི་རྣལ་འབྱོར་བྱང་ཆུབ་བདེ་ལམ་ཞེས་བྱ་བ་བཞུགས་སོ།  །
TMOBCE_LH,Prayer to the Supreme Lord of Siddhas Tsultrim Zangpo,༄༅། །རྗེ་གྲུབ་མཆོག་ཚུལ་ཁྲིམས་བཟང་པོར་གསོལ་འདེབས།
TMAB3Y_LH,Praise of Noble Avalokiteśvara,༄༅། །འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་བསྟོད་པ།
TMYMKQ_LH,Prayer to Avalokiteśvara,༄༅། །སྤྱན་རས་གཟིགས་ཀྱི་གསོལ་འདེབས། །
TMU449_LH,The Vision A Prayer to Ārya Avalokiteśvara,༄༅། །འཕགས་པའི་གསོལ་འདེབས་ཞལ་མཐོང་མ་བཞུགས། །
TMKGPY_LH,Prayer to Avalokiteśvara,༄༅། །སྤྱན་རས་གཟིགས་ལ་གསོལ་འདེབས།
TM66FC_LH,Vajra Speech of the Prayer to Noble Avalokiteśvara from the Great Siddha Thangtong Gyalpo's Life as Bhikṣu Padma Karpo,༄༅། །རྗེ་གྲུབ་ཐོབ་ཆེན་པོ་དགེ་སློང་པདྨ་དཀར་པོ་སྐྱེ་བ་བཞེས་པའི་ཚེ་འཕགས་པ་སྤྱན་རས་གཟིགས་ལ་གསོལ་བ་བཏབ་པའི་རྡོ་རྗེའི་གསུང་བཞུགས་སོ།།
TMIZRV_LH,The Method of Accomplishment of Ārya Avalokiteśvara The Practice of Great Compassion & Mahāmudrā in Union,༄༅། །ཐུགས་རྗེ་ཆེན་པོ་དང་ཕྱག་རྒྱ་ཆེན་པོ་ཟུང་འཇུག་ཏུ་ཉམས་སུ་ལེན་ཚུལ་བཞུགས།
TMZXWJ_LH,Visualisation and Mantra Recitation of the Great Compassionate One,༄༅། །ཐུགས་ཆེན་སྒོམ་བཟླས་བཞུགས༔
TM2TIW_LH,"The Essence of Cintāmaṇi A Daily Practice of the Great Compassionate One, Wish-fulfilling Wheel I. The Preliminaries II. The Main Part III. The Conclusion",༄༅། །ཐུགས་རྗེ་ཆེན་པོ་ཡིད་བཞིན་འཁོར་ལོའི་རྒྱུན་ཁྱེར་ཙིནྟཱ་མ་ཎིའི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TM9KMQ_LH,Visualization and Recitation of the Six-Syllable Mantra of Avalokiteśvara,༄༅། །སྤྱན་རས་གཟིགས་ཡི་གེ་དྲུག་པའི་བསྒོམ་བཟླས།
TMLNDP_LH,The Method of Accomplishment of Ārya Avalokiteśvara The Practice of Great Compassion & Mahāmudrā in Union,༄༅། །ཐུགས་རྗེ་ཆེན་པོ་དང་ཕྱག་རྒྱ་ཆེན་པོ་ཟུང་འཇུག་ལ་ཉམས་སུ་ལེན་ཚུལ་ཐམས་ཅད་མཁྱེན་པ་དཀོན་མཆོག་ལྷུན་གྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ། །
TMKQVD_LH,"The Wish-Fulfilling Jewel A Daily Sādhana of Noble Avalokiteśvara, the Great Compassionate One",༄༅། །འཕགས་པ་ཐུགས་རྗེ་ཆེན་པོའི་མངོན་རྟོགས་ཡིད་བཞིན་ནོར་བུ་བཞུགས་སོ།།
TMMMDC_LH,The Sādhana of the Five Self-Arisen Noble Brothers: 1 An Instruction in the Union of Generation and Completion,༄༅། །འཕགས་པ་རང་བྱོན་མཆེད་ལྔའི་བསྒྲུབ་ཐབས་བསྐྱེད་རྫོགས་ཟུང་འབྲེལ་དུ་གདམས་པ་བཞུགས་སོ། །
TMNKNW_LH,"Far-Reaching Benefit of Beings, Extensive as the Sky Visualization and Mantra Recitation of the Great Compassionate One 1. Prostration 2. Offering 3. Confession 4. Rejoicing 5. Imploring the Buddhas to Turn the Wheel of Dharma 6. Requesting the Buddhas Not to Enter Nirvāṇa 7. Dedication",༄༅། །ཐུགས་རྗེ་ཆེན་པོའི་བསྒོམ་བཟླས་འགྲོ་དོན་མཁའ་ཁྱབ་མ་བཞུགས་སོ། །
TMAZ2P_LH,Verses for Accumulating the Tsok Offering to the Great Compassionate One,༄༅། །ཐུགས་རྗེ་ཆེན་པོའི་ཚོགས་གྲངས་གསོགས།
TMUCJS_LH,"The Ultimate, Natural Dispeller of Obstacles",ཆོས་ཉིད་དོན་གྱི་བཟློག་པ་བཞུགས་སོ༔
TMJBHB_LH,"Turning Back Obstacles and Adverse Circumstances A Prayer to Orgyen Rinpoche, Embodiment of All Sources of Refuge",༄༅། །སྐྱབས་གནས་ཀུན་འདུས་ཨོ་རྒྱན་རིན་པོ་ཆེ་ལ་གསོལ་འདེབས་བར་ཆད་རྐྱེན་བཟློག་ཅེས་བྱ་བ་བཞུགས། །
TM1GII_LH,The Rishi's Maledictory Incantation 1 An Invocation of Wisdom Mind and Sacred Pledges for Reversing the Disturbances and Agitations of Dark Times in the Form of an Aspiration Prayer,༄༅། །བསྐལ་ངན་དུས་ཀྱི་གཡོ་འཁྲུག་ཟློག་པའི་ཐུགས་དམ་རྒྱུད་བསྐུལ་གསོལ་འདེབས་སྨོན་ལམ་དུ་བྱ་བ་དྲང་སྲོང་དམོད་སྔགས་ཞེས་བྱ་བ་བཞུགས་སོ།།
TM9MIZ_LH,A Brief Version of the 'Chinese' Practice of Averting Periodic Obstacles 1,༄༅། །རྒྱ་ནག་སྐག་ཟློག་བསྡུས་པ་བཞུགས་སོ།།
TMQJ3Q_LH,"The Adamantine Magical Wheel Invoking the Profound Pledge of Padmākara, the Glorious Victor, to Avert the Final War",༄༅། །རྒྱལ་དབང་པདྨཱ་ཀ་རའི་ཐུགས་དམ་ཟབ་བསྐུལ་མཐའ་དམག་ཟློག་བྱེད་རྡོ་རྗེའི་འཁྲུལ་འཁོར།
TM0CB5_LH,Declaration of the Power of Truth A Prayer to Overcome Invading Forces,༄༅། །དཀོན་མཆོག་རྩ་གསུམ་རྒྱ་མཚོའི་བདེན་སྟོབས་བརྗོད་པ།
TMV3HX_LH,A Daily 'Hand-Clapping' Practice of Siṃhamukhā,༄༅། །སེང་གདོང་མའི་ཐལ་རྡེབ་རྒྱུན་ཁྱེར།
TMPVBI_LH,"Averting Negativity through Siṃhamukhā, the Lion-Faced Ḍākinī",༄༅། །སེང་གདོང་མའི་ཟློག་དམིགས།
TMUPPH_LH,Averting Obstacles through Sitātapatrā,༄༅། །གདུགས་དཀར་ཟློག་པ་ནི།
TMKU98_LH,Concise Averting Ritual for the Practice of Hayagrīva and Garuḍa 1,༄༅། །རྟ་ཁྱུང་གི་བཟློག་བསྡུས།
TMCALN_LH,Short Vajrakīla Dokpa,༄༅། །ཕུར་བཟློག་བསྡུས་པ།
TMN2U0_LH,"The Praise to Tārā with Twenty-One Verses of Homage, and the Excellent Benefits of Reciting the Praise The Excellent Benefits of the Praise",༄༅། །སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ཉི་ཤུ་རྩ་གཅིག་གིས་བསྟོད་པ་ཕན་ཡོན་དང་བཅས་པ།
TMN0MW_LH,A Prayer Invoking the Benefits of the Festival of the Tenth Day,༄༅། །ཚེས་བཅུའི་ཕན་ཡོན་གསོལ་འདེབས་བཞུགས།
TMIGAC_LH,The Quintessence of Marvellous Nectar A Prayer Based on the Liberational Life of the Gentle Protector Guru,༄༅། །འཇམ་མགོན་བླ་མའི་རྣམ་ཐར་གསོལ་འདེབས་སྙིང་པོ་ངོ་མཚར་བདུད་རྩིའི་ཉིང་ཁུ་བཞུགས་སོ།    །
TMO0WM_LH,The Hook Which Invokes the Blessings A Supplication to the Life and Liberation of Rigdzin Jalü Dorje,༄༅། །རིག་འཛིན་འཇའ་ལུས་རྡོ་རྗེའི་རྣམ་ཐར་གསོལ་འདེབས་བྱིན་རླབས་འགུགས་པའི་ལྕགས་ཀྱུ་བཞུགས་སོ།།
TMVRIW_LH,The Seeds of Faith A Prayer to the Vidyādhara and Great Tertön Lerab Lingpa,༄༅། །རིག་འཛིན་གཏེར་ཆེན་ལས་རབ་གླིང་པའི་གསོལ་འདེབས་དད་པའི་ས་བོན།
TMLC6U_LH,The Melodious Sound of Gathering Auspiciousness A Prayer Based on the Liberational Life of the Omniscient Jamyang Khyentse Wangpo,༄༅། །ཀུན་མཁྱེན་འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་རྣམ་ཐར་གསོལ་འདེབས་བཀྲ་ཤིས་འཁྱིལ་བའི་སྒྲ་དབྱངས་ཞེས་བྱ་བ་བཞུགས།།
TM0NON_LH,The Melody of the Auspicious Spiralled Conch A Prayer Based on the Liberation Life of the Great Emanated Tertön Chokgyur Lingpa,༄༅། །སྤྲུལ་པའི་གཏེར་ཆེན་མཆོག་གྱུར་གླིང་པའི་རྣམ་ཐར་གསོལ་འདེབས་བཀྲ་ཤིས་འཁྱིལ་བའི་དབྱངས་སྙན་ཞེས་བྱ་བ་བཞུགས་སོ། །
TM1NQ3_LH,The Prayer of the Tenth Days in Guru Rinpoche’s Life Story entitled ‘The Nucleus of Blessings’,༄༅། །གུ་རུ་རིན་པོ་ཆེའི་ཚེས་བཅུའི་རྣམ་ཐར་གསོལ་འདེབས་བྱིན་རླབས་ཐིག་ལེ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMYR5E_LH,The Tambura’s 1 Yearning Song of Devotion A Prayer Summarizing Khandro Yeshé Tsogyal’s Life and Liberation,༄༅། །མཁའ་འགྲོའི་གཙོ་མོ་ཡེ་ཤེས་མཚོ་རྒྱལ་གྱི་རྣམ་ཐར་མདོར་བསྡུས་སྒོ་ནས་གསོལ་བ་འདེབས་པ་མོས་གུས་གདུང་བའི་ཏམྦུ་ར་བཞུགས་སོ། །
TMLLIE_LH,"A Beautiful and Wondrous Uḍumbara Garland A Supplication and Summary 1 of the Epic of Padma, The Life and Liberation of the Precious Guru of Uḍḍiyāna",༄༅། །ཨོ་རྒྱན་གུ་རུ་རིན་པོ་ཆེའི་རྣམ་ཐར་བཀའི་ཐང་ཡིག་གི་དོན་བསྡུས་གསོལ་འདེབས་ངོ་མཚར་ཨུ་དུམྦ་རའི་ཕྲེང་མཛེས་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMHN40_LH,"A Prayer Recalling the Life and Liberation of the Great Perfection Adept Rangjung Dorje (‘Naturally Arisen Vajra’), Jigme Lingpa",༄༅། །རྫོགས་ཆེན་པ་རང་བྱུང་རྡོ་རྗེའི་རྣམ་ཐར་གསོལ་འདེབས་བཞུགས།
TMNT5S_LH,"A Short Prayer Based on the Life and Liberation of the All-Knowing, All-Seeing Jamyang Khyentse Wangpo",༄༅། །ཐམས་ཅད་མཁྱེན་ཅིང་གཟིགས་པ་འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་རྣམ་ཐར་གསོལ་འདེབས་མདོར་བསྡུས།
TMRWQF_LH,Prayer Recalling the Life and Liberation of the Mañjunātha Guru,༄༅།    །འཇམ་མགོན་བླ་མའི་རྣམ་ཐར་གསོལ་འདེབས་བཞུགས་སོ།    །
TMC2D9_LH,A Prayer Recalling the Life and Liberation of the Precious Master Padmasambhava,༄༅། །སློབ་དཔོན་རིན་པོ་ཆེ་པདྨ་འབྱུང་གནས་ཀྱི་རྣམ་ཐར་གསོལ་འདེབས་བཞུགས་སོ། །
TMYAV7_LH,Cloud Banks of Blessings A Prayer Recounting the Eleven Deeds of the Life and Liberation of the Guru from Uḍḍiyāna 1,༄༅། །ཨུ་རྒྱན་རིན་པོ་ཆེའི་རྣམ་ཐར་མཛད་པ་བཅུ་གཅིག་གི་གསོལ་འདེབས་བྱིན་རླབས་སྤྲིན་ཕུང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMVGP0_LH,A Prayer Recounting the Lives and Liberation of the Exalted Ḍākinī Mandāravā 1,ཌཱ་ཀིའི་གཙོ་མོ་མནྡྷ་ར་བའི་རྣམ་ཐར་གསོལ་འདེབས། །
TMSYYB_LH,"Gateway for the Faithful A Supplication Recalling the Lives and Liberation of Kyabje Trulshik Rinpoche, Ngawang Chökyi Lodrö",༄༅། །ངག་དབང་ཆོས་ཀྱི་བློ་གྲོས་ཀྱི་སྐྱེས་རབས་དང་རྣམ་ཐར་གསོལ་འདེབས་སུ་བཏགས་པ་དད་པའི་འཇུག་ངོགས་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMZCT6_LH,Bodhicaryāvatāra Lineage Prayer,༄༅། །སྤྱོད་འཇུག་གི་བརྒྱུད་འདེབས།
TMQ490_LH,Prayer to the Lineage of the Bodhicaryāvatāra,༄༅། །སྤྱོད་འཇུག་བརྒྱུད་པའི་གསོལ་འདེབས་བཞུགས། །
TMVN5N_LH,Vines of Amṛta: A Prayer to the Lineage of the Bodhicaryāvatāra,༄༅། །སྤྱོད་འཇུག་བརྒྱུད་པའི་གསོལ་འདེབས་བདུད་རྩིའི་འཁྲི་ཤིང་བཞུགས།
TMNRLC_LH,The Blissful Path to the Ocean of Bodhicitta A Brief Prayer of Aspiration for Mind Training,༄༅།  །བློ་སྦྱོང་སྨོན་ལམ་དོན་བསྡུས་བྱང་སེམས་རྒྱ་མཚོའི་བདེ་ལམ་བཞུགས།།
TMTCP5_LH,"Aspiration to Generate Bodhicitta, Utterly Pure and Supreme",༄༅། །རྣམ་དག་བྱང་ཆུབ་མཆོག་ཏུ་སེམས་བསྐྱེད་པའི་སྨོན་ལམ།
TM7SBC_LH,Daily Confession (from the Vajrapañjara Tantra),༄༅། །རྡོ་རྗེ་གུར་ལས་འབྱུང་བའི་རྒྱུན་བཤགས།
TMAVHW_LH,"The Ritual for the Bodhisattva Vow Arranged According to the Tradition of Patrul Rinpoche Recalling the Qualities of the Three Jewels 1 Prayer to the Bodhicitta and the Bodhisattvas The Consecration of the Environment Consecrating the Offerings The Offering Cloud Dhāraṇī Inviting the Buddhas and their Entourages as a Field of Merit Inviting the Buddhas and their Retinues to Remain Offering the Buddhas their Places I. The Preparation The Seven Branches for Gathering the Accumulations 1. Prostration The Prayer in One Verse: The Prayer in Four Verses: The Great Praise of the Twelve Acts of the Buddha 4 The Short Praise of the Buddha’s Deeds 6 The Praise of the Twelve Acts of the Buddha Offering Homage and Prostration 7 i. Prostration 2. Making Offerings The Thirty-Seven Point Maṇḍala Offering Short Maṇḍala Offering The Three-Kāya Maṇḍala Offering Nirmāṇakāya Maṇḍala Offering Saṃbhogakāya Maṇḍala Offering Dharmakāya Maṇḍala Offering Aspirations ii. Offerings (continued) 11 Offering Our Bodies 3. Confession of Harm iii. Confession 4. The Remaining Four Branches 13 iv. Rejoicing v. Imploring the Buddhas to Turn the Wheel of Dharma vi. Requesting the Buddhas Not to Enter Nirvāṇa vii. Dedication Training the Mind in the Four Immeasurables Giving Away of the Three Bases of Clinging The Preliminary Prayer for Requesting the Attention of the Buddhas, Bodhisattvas and Teachers II. The Main Part Taking the Vows of Bodhicitta in Aspiration and Action Combined The Series of Aspiration Prayers III. Conclusion Recitation of the Dhāraṇī of Pure Discipline Aspiration Prayers Afterword",༄༅། །བྱང་སྡོམ་བླང་ཆོག་དཔལ་སྤྲུལ་གསུང་རྒྱུན་ལྟར་བཀོད་པ་བཞུགས་སོ། །
TM7WLI_LH,Verses of Refuge and Bodhichitta,༄༅། །སྐྱབས་འགྲོ་སེམས་བསྐྱེད།
TMNUDV_LH,Entranceway for the Faithful Refuge and Bodhicitta Prayers Taking Refuge Generating Bodhicitta Prayer,༄༅། །སྐྱབས་སེམས་གསོལ་འདེབས་དད་པའི་འཇུག་ངོགས་བཞུགས་སོ།།
TM2PLQ_LH,"Gathering Auspiciousness A Prayer of Aspiration Made in the Presence of the Sacred Mahābodhi Temple and its Imagery, Magadha, Land of the Āryas",༄༅། །འཕགས་ཡུལ་མ་ག་དྷའི་བྱང་ཆུབ་ཆེན་པོའི་བཞུགས་གནས་རྟེན་དང་བརྟེན་པར་བཅས་པའི་གསོལ་སྨོན་བཀྲ་ཤིས་འཁྱིལ་བ་བཞུགས་སོ།།
TMFWUC_LH,Guru Yoga of the Guru Mahāmuni,༄༅། །བླ་མ་ཐུབ་པ་ཆེན་པོའི་བླ་མའི་རྣལ་འབྱོར་བཞུགས་སོ། །
TMR8XQ_LH,"The Merry Sea of Blessings A Guru Yoga of the Lord of Sages, Peerless Teacher of All, Including the Devas",༄༅། །ལྷ་དང་བཅས་པའི་སྟོན་པ་མཉམ་མེད་ཐུབ་པའི་དབང་པོའི་བླ་མའི་རྣལ་འབྱོར་བྱིན་རླབས་རོལ་མཚོ།
TMYPDM_LH,Short Praise of the Buddha's Deeds,༄༅། །ཐུབ་པའི་བསྟོད་པ་གང་ཚེ་རྐང་གཉིས་མ། །
TMPJF6_LH,Great Praise of the Twelve Acts of the Buddha,༄༅། །ཐུབ་པའི་བསྟོད་པ་ཐབས་མཁས་ཐུགས་རྗེ་མ།
TM1GKR_LH,Verses on the Buddha's Previous Lives,༄༅། །ཐུབ་པའི་སྐྱེས་རབས་སྡོམ་ཚིག་བཞུགས་སོ། །
TMP8SC_LH,Supplication to Lord Buddha together with the Sixteen Arhats,༄༅། །ཐུབ་པ་གནས་བརྟན་བཅུ་དྲུག་དང་བཅས་པ་གསོལ་བ་འདེབས་པ།
TMAVWJ_LH,Prayer to the Sovereign of Dharma and Retinue,༄༅། །ཆོས་ཀྱི་རྒྱལ་པོ་འཁོར་བཅས་ལ་གསོལ་འདེབས།
TMU9WH_LH,The Treasury of Blessings A Practice of Buddha Śākyamuni,༄༅།  །ཐུབ་ཆོག་བྱིན་རླབས་གཏེར་མཛོད་བཞུགས་སོ། །
TMA0KP_LH,The Excellent Path of Supreme Great Bliss A Prayer for Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་གསོལ་འདེབས་བདེ་ཆེན་མཆོག་གི་ལམ་བཟང་ཞེས་བྱ་བ་བཞུགས་སོ།།
TM0UO1_LH,Calling the Guru From Afar,༄༅། །བླ་མ་རྒྱང་འབོད།
TMLN0J_LH,Nectar Shower of Blessings A Song of Yearning Devotion Recalling the Everpresent Gurus,༄༅། །ཁྱབ་བདག་བླ་མ་རྗེས་སུ་དྲན་པའི་གདུང་དབྱངས་བྱིན་རླབས་བདུད་རྩིའི་ཆར་འབེབས་བཞུགས། །
TMFG45_LH,Spontaneous Song of the Genuine Nature A Prayer of Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་ཀྱི་གསོལ་འདེབས་གཉུག་མའི་ཐོལ་གླུ་ཞེས་བྱ་བ། །
TMBPF1_LH,A Song of Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་བཞུགས་སོ། །
TM9C86_LH,Calling the Guru From Afar A Prayer to Pierce the Heart with Devotion,༄༅། །བླ་མ་རྒྱང་འབོད་ཀྱི་གསོལ་འདེབས་མོས་གུས་སྙིང་གི་གཟེར་འདེབས་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMMPHX_LH,An Envoy for Swiftly Invoking the Blessings of Definitive Meaning Calling the Great Omniscient Jonangpa from Afar,༄༅། །ཀུན་མཁྱེན་ཇོ་ནང་པ་ཆེན་པོར་རྒྱང་འབོད་ངེས་དོན་བྱིན་རླབས་མྱུར་དུ་འགུགས་པའི་ཕོ་ཉ་ཞེས་བྱ་བ་བཞུགས་སོ།  །
TM4PGE_LH,Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་བཞུགས་སོ།  །
TMYSY8_LH,Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་བཞུགས་སོ།  །
TM19Q4_LH,Dispelling the Anguish of Existence and Quiescence A Prayer of Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་ཀྱི་གསོལ་འདེབས་སྲིད་ཞིའི་གདུང་སེལ་ཞེས་བྱ་བ་བཞུགས་སོ།  །
TMJSPE_LH,The Hook of Compassion Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་ཐུགས་རྗེའི་ལྕགས་ཀྱུ།
TM0L2D_LH,The Rain of Wisdom Blessings A Song of Prayer to the Guru,༄༅། །བླ་མ་ལ་གསོལ་བ་འདེབས་པའི་གླུ་ཡེ་ཤེས་བྱིན་འབེབས་ཞེས་བྱ་བ་བཞུགས་སོ།  །
TMJ5P2_LH,Gyang Lu – A Song of Calling the Guru from Afar,༄༅། །རྒྱང་གླུ་བཞུགས་སོ།
TMCOJR_LH,Luminous Clouds of Spontaneous Song A Prayer to Call the Guru from Afar,༄༅། །རྒྱང་འབོད་གསོལ་འདེབས་འོད་གསལ་སྤྲིན་གྱི་ཐོལ་གླུ་བཞུགས་སོ། །
TMNEEA_LH,Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་བཞུགས་སོ།།
TMMM9W_LH,Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད།
TMVCR8_LH,Prayer to the Lineage of the Great Chetsün’s Profound Essence of Vimala,༄༅། །ལྕེ་བཙུན་ཆེན་པོའི་བི་མ་ལའི་ཟབ་ཏིག་གི་བརྒྱུད་པའི་གསོལ་འདེབས་བཞུགས་སོ། །
TMSR8N_LH,Prayer to the Lineage of the Great Chetsün’s Profound Essence of Vimala,༄༅། །ལྕེ་བཙུན་ཆེན་པོའི་བི་མ་ལའི་ཟབ་ཏིག་གི་བརྒྱུད་པའི་གསོལ་འདེབས་བཞུགས་སོ། །
TMS1QQ_LH,The Beautiful Rosary of Jewels A Fulfilment Offering for Chimé Phakmé Nyingtik,༄༅། །འཆི་མེད་འཕགས་མ་སྙིང་ཏིག་གི་བསྐང་བ་རིན་ཆེན་ཕྲེང་མཛེས་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMFPGH_LH,A Shortcut to the Siddhi of Immortality Guru Yoga of Union with the Three Deities of Long Life,༄༅། །ཚེ་ལྷ་རྣམ་གསུམ་ལ་བསྟེན་པའི་བླ་མའི་རྣལ་འབྱོར་འཆི་མེད་གྲུབ་པའི་གསེང་ལམ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMB9VL_LH,The Fount of Longevity Chimé Phakmé Nyingtik Lineage Prayer,༄༅། །འཆི་མེད་འཕགས་མའི་སྙིང་ཐིག་གི་བརྒྱུད་པའི་གསོལ་འདེབས་ཚེ་དབང་བཅུད་འཛིན་ཞེས་བྱ་བ་བཞུགས་སོ། །
TM82P3_LH,Brief Supplementary Text for Intensive Practice (Drupchö) of the Sublime Lady of Immortality (Chimé Pakmé Nyingtik) 1. Preparations 1. Preparation of the Deity 2. Preparation of the Vase 2. Main Part 3. Conclusion Aspiration Prayer,༄༅།  །འཆི་མེད་འཕགས་མའི་སྒྲུབ་མཆོད་སྐབས་ཀྱི་ཟུར་རྒྱན་ཉུང་ངུ་བཞུགས་སོ།  །
TMG76O_LH,Amrita Offering to the Lineage of Chimé Pakmé Nyingtik,༄༅། །འཕགས་མའི་སྙིང་ཐིག་གི་སྨན་མཆོད།
TMRIY1_LH,Condensed Daily Practice of The Heart-Essence of the Sublime Lady of Immortality Preliminaries Main Practice Feast Offering 3 Conclusion,༄༅། །འཆི་མེད་འཕགས་མའི་སྙིང་ཐིག་གི་རྒྱུན་ཁྱེར་སྙིང་པོར་དྲིལ་བ་བཞུགས།
TMJWHZ_LH,"Activities for Uncovering Primordial Wisdom from the Chimé Pakmé Nyingtik, ‘The Heart-Essence of the Sublime Lady of Immortality’ The Preliminaries 1. Taking Refuge 2. Generating Bodhicitta 3. Seven-Branch Offering 4. Gektor 5. Visualizing the Protective Spheres 6. Descent of Blessings 7. Blessing the Offerings II. The Main Practice 2. Inviting the Jñānasattvas 3. Requesting the Jñānasattvas to Remain 4. Prostration 5. Offerings 6. Offering Praise with Vajra Song 7. Mantra Recitation a. Approach b. Accomplishment c. Activity The Offering of the Tsok of Great Bliss Blessing the Offerings Inviting the Deities Descent of Blessings Offering the First Portion Second Offering Remainder Offering Aspiration Prayer Conclusion Cheto Offering Tenma Offering Vajra Dance III. Conclusion 1. Offering, Praise and Accomplishments 2. Confession 3. Dissolution 4. Reappearance 5. Dedication 6. Aspiration Prayer 7. Prayer of Auspiciousness",༄༅། །འཆི་མེད་འཕགས་མའི་སྙིང་ཐིག་ལས༔ ཕྲིན་ལས་ཡེ་ཤེས་སྣང་བ༔
TMFG89_LH,The Single-Form Daily Practice from Chimé Pakmé Nyingtik (The Heart-Essence of the Sublime Lady of Immortality) I. The Preliminary 1. Taking Refuge 2. Generating Bodhicitta II. The Main Practice 1. Meditation on the Deity a) Visualization of the Samayasattvas b) Inviting and Absorbing the Jñānasattvas Paying Homage Offerings Praise c) Focusing the Mind on the Form of the Deity 2. The Mantra Recitation III. Conclusion Offerings Praise Confession of Mistakes in Practice Dissolution Dedication,༄༅། །འཆི་མེད་འཕགས་མའི་སྙིང་ཏིག་ལས། རྒྱུན་གྱི་རྣལ་འབྱོར་ཕྱག་རྒྱ་གཅིག་པ།
TMYKL4_LH,"The Summoning of Longevity from Chimé Pakmé Nyingtik, 'The Heart-Essence of the Sublime Lady of Immortality'",༄༅། །ཚེ་འགུགས།
TMRESJ_LH,The Offering-Clouds of Samantabhadra A Concise Confession and Fulfilment Practice of the Three Roots,༄༅། །རྩ་གསུམ་སྐོང་བཤགས་ཉེར་བསྡུས་ཀུན་བཟང་མཆོད་སྤྲིན་བཞུགས།
TMVJZG_LH,Song of the Illusory Display The Lineage Prayer for the Heart-Essence of the Deathless Lake-Born Vajra,༄༅། །འཆི་མེད་མཚོ་སྐྱེས་སྙིང་ཏིག་གི་བརྒྱུད་པའི་གསོལ་འདེབས་སྒྱུ་འཕྲུལ་རོལ་མོ་བཞུགས་སོ། །
TMAGX0_LH,"Net of the Illusory Display The Root Sādhana from the Heart-Essence of the Deathless Lake-Born Vajra I. The Preliminaries A. Taking Refuge B. Rousing the Bodhicitta of Aspiration and Application C. The Seven Branches D. Giving the Preliminary Torma E. Visualizing the Protection Circle F. Making Wisdom-Resplendence Rain Down G. Consecrating the Offering Substances II. The Main Part A. The Generation Practice Inviting the Wisdom Beings B. The Stages of Accomplishment Homage, Offerings, and Praise The Awakened Intent of the Mantra Recitation C. Applying the Activities The Feast Offering Between Sessions Consecrating the Gathering Substances Inviting the Field of Accumulation Offering the First Portion The Second Offering for Confessing Broken Samayas Finally, Performing and Offering the Liberation Offering the Residuals Proclaiming to the Guardians the Pledges They Made in the Past Nurturing the Tenmas with the Rinsing Water Concluding the Activities with the Vajra Dance III. The Concluding Stages A. Receiving the Siddhis B. Confessing Mistakes C. The Practice of Dissolution D. Eliminating the Extreme of Nihilism E. Dedicating the Merit F. Making Aspirations G. Making Prayers for Auspiciousness",དྷཱི།༔ འཆི་མེད་མཚོ་སྐྱེས་སྙིང་ཏིག་ལས༔ རྩ་བའི་སྒྲུབ་ཐབས་སྒྱུ་འཕྲུལ་དྲྭ་བ་བཞུགས་སོ༔
TM0BYV_LH,The Lineage Prayer for the Natural Liberation of Grasping (Dzinpa Rangdrol),༄༅། །འཛིན་པ་རང་གྲོལ་བརྒྱུད་པའི་གསོལ་འདེབས་བཞུགས།
TMIIXT_LH,Prayer to the Gurus of the Chöd Lineage,༄༅། །གཅོད་ཀྱི་བླ་བརྒྱུད་གསོལ་འདེབས།
TM1ZYI_LH,"Concise Offering of the Body From the Root Text of the Heart Accomplishment of the Guru Tukdrup, The Essential Manual of Oral Instructions (Shaldam Nyingjang) Actual Offering of the Body",༄༅། །ཐུགས་སྒྲུབ་ཞལ་གདམས་སྙིང་བྱང་ལས། ལུས་ཀྱི་མཆོད་སྦྱིན་བཞུགས།
